年份,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
北京市,,,,0.2211,0.8233,2.7875,9.7405,17.1,23.38,30.89,40.4,45.4
天津市,,,,,,1.39,3.85,8.1605,11.7626,14.6775,20.0,22.9
河北省,,,,,,,,4.5573,8.7555,13.2196,15.9,19.0
山西省,,,,,,,,8.6798,.,.,11.6,13.4
内蒙古自治区,,,,,,,,0.765,1.1071,1.3866,1.9,2.3
辽宁省,,,,,,,0.9855,1.29,.,.,3.2,4.0
吉林省,,,,,,,,0.4829,0.6123,0.9362,1.8,2.3
黑龙江省,,,,,,,,,,,1.7,1.9
上海市,,,,, ,,10.4191,16.606,23.9784,30.3,43.3,54.6
江苏省,,,,,,,,8.4,10.1485,15.1899,22.4,30.7
浙江省,,,,,,,,10.0127,23.1488,31.0,39.1,50.8
安徽省,,,,,,,,,,,15.0,17.3
福建省,,,,,,,,3.7644,7.157,10.6494,14.5,17.5
江西省,,,,,,,1.5827,2.9652,5.34,7.48,10.1,11.5
山东省,,,,,,,8.7707,14.6,26.2985,35.2968,37.0,43.0
河南省,,,,,,,,,,23.0,28.0,36.4
湖北省,,,,,,,,2.32,.,,13.8,16.2
湖南省,,,,,,,,,7.9417,9.87,13.7,16.0
广东省,,,,,,,,20.0,40.0,60.0,85.7,101.7
广西壮族自治区,,,,,,,,,6.1368,9.0855,15.7,19.8
海南省,,,,,,,0.7063,1.5,2.28,3.5177,5.8,7.5
重庆市,,,,,,,,,3.6,5.7,9.4,11.5
四川省,,,,,,,,4.8,8.6,12.6,14.6,18.5
贵州省,,,,,,,0.4803,1.1203,2.3763,3.3951,4.6,5.5
云南省,,,,,,,0.3017,1.5343,3.293,5.1022,6.3,8.0
西藏自治区,,,,,,,,,,,0.07,0.1
陕西省,,,,,,,,2.472,4.8375,8.3,11.7,14.0
甘肃省,,,,,,,,,,,2.3,2.7
青海省,,,,,,,,,0.1787,.,0.4,0.5
宁夏回族自治区,,,,,,,,,,,0.5,0.6
新疆维吾尔自治区,,,,,,,,,0.3614,0.7106,1.0,1.3
